,Polarity_median,Polarity_mean,Polarity_mode,Polarity_stdev,PR_nb_comments,PR_state,lines_added,lines_removed,modified_files,modified_classes,class_loc,class_cboModified,class_wmc,class_lcom*,total_methods_qtt,method_loc,method_cboModified,method_wmc,parameters_qtt
118,0.00,0.17,0,0.37,6,1,5,0,1,1,4.00,0.00,1.00,0.00,0.00,2.00,0.00,0.50,0.00
119,0.00,0.00,0,0.00,1,1,61,7,7,7,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,0.00,0.20,0,0.40,17,1,1757,179,41,38,3.00,2.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00
121,0.00,0.10,0,0.30,7,1,323,426,23,18,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
122,0.00,0.00,0,0.00,2,1,56,20,5,5,10.00,0.00,2.00,0.00,0.00,5.00,0.00,1.00,0.00
123,1.00,0.67,1,0.47,2,1,170,27,12,11,5.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
124,1.00,0.75,1,0.43,4,1,5,0,1,1,3.00,0.00,1.00,0.00,0.00,3.00,0.00,1.00,0.00
125,1.00,0.67,1,0.47,9,-1,2,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
126,1.00,0.55,1,0.50,20,1,737,8,11,11,29.00,5.00,4.00,0.00,4.00,3.00,0.00,1.00,0.00
127,1.00,1.00,1,0.00,4,1,71,7,4,4,7.00,0.00,1.50,-0.01,1.00,3.00,1.50,1.00,0.00
128,0.00,0.00,0,0.00,5,1,21,0,3,3,4.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
129,0.00,0.00,0,0.00,3,-1,60,4,1,1,44.00,1.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00
130,0.00,0.00,0,0.00,2,1,99,40,12,12,1.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,0.00,0.00,0,0.71,4,-1,28,0,1,1,8.00,0.00,0.00,0.00,0.00,,,,
132,0.00,0.00,0,0.00,8,-1,722,196,4,4,10.50,0.50,0.00,0.00,1.00,6.00,1.00,1.00,0.00
133,0.00,0.00,0,0.00,6,1,76,41,5,5,-8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
134,0.00,0.29,0,0.45,32,1,1164,69,14,12,38.50,6.50,4.00,0.00,3.50,2.00,1.00,1.00,0.00
135,0.00,0.00,0,0.00,6,1,2325,1502,18,18,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
136,1.00,0.60,1,0.49,5,-1,37,37,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137,0.00,-0.12,0,0.60,24,1,205,10,2,2,58.50,7.00,2.50,0.34,1.50,0.00,0.00,0.00,0.00
138,-1.00,-1.00,-1,0.00,1,0,105,2,3,3,19.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00
139,0.00,0.00,0,0.00,3,-1,23,18,1,1,5.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00
140,0.00,0.22,0,0.42,11,-1,457,36,9,9,14.00,7.00,2.00,0.00,1.00,6.00,1.00,2.00,1.00
141,0.00,0.40,0,0.49,5,-1,146,0,5,3,17.00,2.50,3.00,0.33,3.00,3.00,0.50,1.00,0.50
142,0.00,0.25,0,0.43,4,-1,46,0,2,2,15.50,1.50,1.00,0.01,1.00,0.00,0.00,0.00,0.00
143,1.00,0.92,1,0.27,13,-1,551,24,13,13,16.00,2.00,4.00,0.00,2.00,3.00,1.00,1.00,0.00
144,0.00,0.20,0,0.40,21,-1,1477,1,16,7,34.00,12.00,4.00,0.43,3.00,3.00,0.00,1.00,0.00
145,0.00,0.00,0,0.00,2,-1,65378,19417,1861,87,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
146,0.00,0.00,0,0.00,2,-1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
147,0.00,0.00,0,0.00,4,-1,143,2,7,5,7.00,2.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00
148,0.00,0.20,0,0.40,5,-1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
149,0.50,0.50,0,0.50,2,-1,36,11,6,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
150,0.00,0.38,0,0.48,5,-1,337,3,7,3,55.00,6.00,2.00,0.00,2.00,3.00,0.00,1.00,0.00
151,-0.50,-0.50,-1,0.50,17,-1,104,0,4,2,29.00,1.00,3.50,0.01,1.50,4.00,0.00,1.00,0.00
152,0.00,0.00,0,0.53,7,-1,147,10,13,5,7.50,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00
153,0.00,0.00,0,0.00,5,-1,75,18,2,2,20.00,0.50,2.00,0.02,1.00,0.00,0.00,0.00,0.00
154,0.00,0.00,0,0.00,1,-1,1,1,1,1,0.00,0.00,0.00,0.00,0.00,3.00,1.00,1.00,0.00
155,0.00,0.00,0,0.00,17,-1,681,23,13,10,22.00,7.00,4.50,0.17,3.50,8.00,0.00,1.00,0.00
156,0.00,0.25,0,0.43,4,-1,14,6,1,1,19.00,6.00,3.00,0.00,2.00,8.00,1.50,1.50,1.00
157,0.00,0.00,0,0.00,2,-1,82,1,4,3,10.00,0.00,2.00,0.00,0.00,5.00,0.00,1.00,0.00
158,1.00,0.67,1,0.47,3,-1,22,5,3,2,6.00,0.00,1.50,0.04,1.00,1.50,0.00,0.50,0.00
159,0.00,0.20,0,0.54,19,-1,414,83,10,8,14.00,2.50,0.00,0.00,0.00,5.00,1.00,1.00,0.00
160,0.00,0.20,0,0.40,24,-1,578,1,15,10,7.00,4.00,1.00,0.00,1.00,3.00,0.50,1.00,0.00
161,0.00,0.14,0,0.35,7,-1,9,13,1,1,-7.00,0.00,0.00,0.00,0.00,-3.50,0.00,0.00,0.00
162,0.00,0.25,0,0.43,8,-1,3,3,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
163,0.00,-0.14,0,0.35,7,-1,11,26,1,1,-13.00,1.00,2.00,0.33,1.00,0.00,0.00,0.00,0.00
